key,strategy,symbol,params,trades_per_day,is_n,is_pf,is_exp,oos_n,oos_pf,oos_exp
"rsi2|NAS100QQQ|{""lo"": 10, ""sl"": 3.0}",rsi2,NAS100QQQ,"{""lo"": 10, ""sl"": 3.0}",0.25136129506990434,126,0.923286323713446,-0.013972388555064708,118,0.8355874444960484,-0.033902496266013764
"breakout|SOLUSD|{""n"": 20, ""sl"": 2.0}",breakout,SOLUSD,"{""n"": 20, ""sl"": 2.0}",0.5879588839941262,307,0.8296895930328104,-0.09202471876653685,265,1.158149937615356,0.09032703717215018
"breakout|SOLUSD|{""n"": 20, ""sl"": 3.0}",breakout,SOLUSD,"{""n"": 20, ""sl"": 3.0}",0.4759177679882525,241,0.956903104933354,-0.0224652768453253,222,1.3958963533013409,0.18873887669392636
"breakout|SOLUSD|{""n"": 55, ""sl"": 2.0}",breakout,SOLUSD,"{""n"": 55, ""sl"": 2.0}",0.379295154185022,198,0.7969351402636493,-0.1095087502258111,171,1.1223256116860691,0.07234542389883071
"breakout|SOLUSD|{""n"": 55, ""sl"": 3.0}",breakout,SOLUSD,"{""n"": 55, ""sl"": 3.0}",0.328928046989721,167,0.9061831556844432,-0.04744728888017649,153,1.2434229811387174,0.12561310039460316
"orb|SOLUSD|{""rr"": 1.0, ""width_min"": 0.0}",orb,SOLUSD,"{""rr"": 1.0, ""width_min"": 0.0}",1.1903083700440529,621,0.7468233493183225,-0.08964251835884304,537,0.8244224165182025,-0.057096781900528276
"orb|SOLUSD|{""rr"": 1.0, ""width_min"": 0.5}",orb,SOLUSD,"{""rr"": 1.0, ""width_min"": 0.5}",1.1533039647577092,600,0.7360094596473,-0.09339859835925829,522,0.860264667718676,-0.04411475868523817
"orb|SOLUSD|{""rr"": 2.0, ""width_min"": 0.0}",orb,SOLUSD,"{""rr"": 2.0, ""width_min"": 0.0}",1.1903083700440529,621,0.7621280428437175,-0.08855038907259939,537,0.826278620183909,-0.05846649233287006
"orb|SOLUSD|{""rr"": 2.0, ""width_min"": 0.5}",orb,SOLUSD,"{""rr"": 2.0, ""width_min"": 0.5}",1.1533039647577092,600,0.7607575589854487,-0.08863580505214258,522,0.8560981365472707,-0.046971253048692374
"orb|SOLUSD|{""rr"": 3.0, ""width_min"": 0.0}",orb,SOLUSD,"{""rr"": 3.0, ""width_min"": 0.0}",1.1903083700440529,621,0.7686382742898406,-0.0867659756403619,537,0.839103123947536,-0.054406561483413066
"orb|SOLUSD|{""rr"": 3.0, ""width_min"": 0.5}",orb,SOLUSD,"{""rr"": 3.0, ""width_min"": 0.5}",1.1533039647577092,600,0.7598094490756584,-0.08967376549972136,522,0.8666284336870811,-0.04375251192578356
