lookback,btc_sma,vol_target,score,2022_pct,2022_dd,2022_sharpe,2023_pct,2023_dd,2023_sharpe,2024_pct,2024_dd,2024_sharpe,2025_pct,2025_dd,2025_sharpe,2026_pct,2026_dd,2026_sharpe
30,200,0.3,0.7723459585942591,0.0,0.0,0.0,32.12514847512624,-8.934598054434185,1.7302933826686757,39.22125856093659,-11.057812252900789,2.0171785278721703,4.576908055325846,-8.507541336864676,0.35945495797350135,15.198677416039574,-4.131160408624179,1.8528284300404059
30,200,0.5,0.7302468007634759,0.0,0.0,0.0,47.607417892412315,-13.850364233226987,1.6267414869952228,62.486362888963654,-17.368315670731437,1.915129050089409,5.1357490448995735,-13.454655966957851,0.32542115170348673,23.19827898936073,-6.712573934382471,1.7919033362346724
30,200,0.8,0.6881746223101961,0.0,0.0,0.0,67.34587658832774,-16.761011861353538,1.7570399833051356,82.56837048153515,-22.067409068759623,1.8380321696142408,1.1196923986540375,-19.305683042885025,0.20335714855404677,27.118693445897012,-9.121080385783642,1.6825628896813374
20,200,0.3,0.6860630924132955,0.0,0.0,0.0,19.351447662553745,-14.459966642696953,1.1938088299912748,32.00858877035759,-16.598851592408124,1.7578459619351297,5.9340975605783,-9.252752336067683,0.46791168274425743,14.59638234555003,-4.140225910456263,1.773518327238997
20,200,0.5,0.6567006218008298,0.0,0.0,0.0,29.14815961816364,-21.191195475895586,1.1699567257007144,47.7955751300789,-26.364055751184324,1.6180658705234265,7.863746533327443,-14.054409246694366,0.4460095343513328,22.06378751783431,-6.706492906923234,1.7226676616073129
20,200,0.8,0.6511263788061272,0.0,0.0,0.0,45.06382625244634,-23.579423990027827,1.3759677922312468,61.541729281324024,-33.584592803308055,1.5490971923621488,7.477988138342062,-18.940081935203867,0.38521610774124004,24.298732306666437,-9.062593825504095,1.59214882835256
60,200,0.3,0.6351342012156722,0.0,0.0,0.0,22.990070010219753,-12.672691688096293,1.172382673163415,32.598643087827895,-16.012809025287,1.6250600139090405,4.1972942390409385,-10.081367030672316,0.320705007579555,14.888680821289825,-4.131160408624169,1.8792380538389657
60,200,0.5,0.6008788100732845,0.0,0.0,0.0,33.11419903046453,-19.613771225502795,1.1265275136990966,50.06797546022048,-24.838103545428392,1.5272787672845942,4.148816907808173,-15.53358438718747,0.28554851333998676,22.855794667950335,-6.7125739343824815,1.821288859383885
60,200,0.8,0.569854743297894,0.0,0.0,0.0,47.32981830050142,-24.078740053644022,1.2662232163273504,59.795406289486166,-32.25681759356582,1.3808216499512054,0.13287868536757674,-20.74387436461499,0.1929048480943101,27.581633930759274,-9.121080385783586,1.7252127093306278
14,200,0.3,0.5360039532774166,0.0,0.0,0.0,35.51700190428213,-13.263347216531308,1.6171091228548204,39.451616747979365,-12.34721360471317,2.196636711953615,-1.632365481347553,-13.222909892146738,-0.031119256427471955,12.086379203733678,-3.763543936167668,1.5980369824984966
45,200,0.3,0.4848641679886225,0.0,0.0,0.0,18.41114511215769,-16.240412848516563,1.1332218422193077,22.135568808266836,-18.11597798629053,1.2325721569551835,-0.2537706615227675,-12.512409362450382,0.062167387509175824,15.464896713053777,-4.131160408624179,1.8565712775187686
45,200,0.5,0.4306907967656365,0.0,0.0,0.0,26.05803898229326,-24.20462622127777,1.0484621991957066,33.08332174479784,-27.333232326635958,1.1627124572520309,-0.9221645322824101,-18.787155012795132,0.08451595999911773,23.820617683804258,-6.71257393438246,1.7993033070599627
14,200,0.5,0.42378077648419954,0.0,0.0,0.0,52.493479084686335,-19.224251535027605,1.5749812359712405,60.440950212343395,-19.98405427523059,2.0243155188269086,-3.3392985131752817,-20.025970173870956,-0.02205706630914599,17.732848397592328,-6.080647048671595,1.5270920346872972
