variant,vol_target,lev,is_total_pct,is_cagr_pct,is_maxdd_pct,is_sharpe,oos_total_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe
rotation_14d_top1_every7,,1,65.91067325194105,18.383572555936457,-65.46538778965034,0.5877646577179941,17.38762625438397,9.749075287530108,-48.30212437205721,0.4400033637663996
rotation_14d_top1_every7,,2,-82.8078973252992,-44.39553514507393,-96.97711734394059,0.20783847076844222,-65.29330853281412,-45.886185887205336,-83.34763557712544,-0.06557666238555113
rotation_14d_top1_every7,,3,-99.34138011289153,-81.25530924026539,-99.91011753966595,-0.0312937752124295,-86.14601317517702,-68.24093468168859,-92.91020370571516,-0.05051817101037574
rotation_14d_top1_every14,,1,-9.671736118641727,-3.3338205230436513,-71.37196381685087,0.3103737023146434,45.136557782885454,24.130027115422514,-47.676521328306606,0.6640684951966964
rotation_14d_top1_every14,,2,-96.88536123887968,-68.5368238786187,-99.28010160271378,-0.21656446862195355,-52.090057397812636,-34.75376962600857,-84.35635922783149,0.07815537334948798
rotation_14d_top1_every14,,3,-99.96602513854639,-93.02218852711033,-99.99173180891805,-0.5963979198746984,-89.36567397685783,-72.75961395651974,-96.55069160468071,-0.17987172469619941
rotation_14d_top2_every7,,1,771.7544685954321,105.80917293849113,-40.971969375482445,1.5308113449713776,8.92504948149484,5.085967981916784,-46.87521486584685,0.3367811550742044
rotation_14d_top2_every7,,2,618.2569905898837,92.94193091264822,-76.02777843387447,1.136083662107114,-51.74795585390729,-34.48382297216024,-80.6380816500146,0.0465848775692677
rotation_14d_top2_every7,,3,194.29140902098916,43.30429099440385,-91.88433409447939,1.033024735111212,-73.29948248863859,-53.525224368053145,-90.416544767701,0.11966063491765155
rotation_14d_top2_every14,,1,258.0697427964046,52.98747427558874,-48.79364698225397,1.0220715193353127,35.65685430703973,19.358708545525683,-45.11519869974416,0.6122718629465684
rotation_14d_top2_every14,,2,63.57254877144987,17.824825966350378,-82.14360879825784,0.7172334145880211,-24.98294203969358,-15.36361783617256,-79.40457262292608,0.3054648773949045
rotation_14d_top2_every14,,3,-84.09930618632441,-45.82419686658715,-98.62626870941162,0.48195291159701564,-55.52602782436007,-37.511408949564284,-91.42685980400474,0.3247077417169586
rotation_14d_top3_every7,,1,405.0860200932081,71.57543792744576,-45.57225959531582,1.3185721763820017,18.43910274601135,10.318461110699296,-36.360812344517115,0.4430017173854959
rotation_14d_top3_every7,,2,888.830573736524,114.63833725407065,-75.08227157881102,1.253221992081296,-1.0523409515975524,-0.6120142432832432,-60.53809991554257,0.39508711724587786
