entry,exit_,sma,score,2022_pct,2022_dd,2022_sharpe,2023_pct,2023_dd,2023_sharpe,2024_pct,2024_dd,2024_sharpe,2025_pct,2025_dd,2025_sharpe,2026_pct,2026_dd,2026_sharpe
5,60,200,0.5146805759003119,0.0,0.0,0.0,2.1307249993242072,-0.2182611736303408,1.1594740158292312,2.3580289523952747,-0.7431085399934756,1.7119785246183312,1.2792641010749506,-0.11017408928737371,1.5719457253933322,0.0,0.0,0.0
5,50,200,0.4628157677025138,0.0,0.0,0.0,2.066210500085064,-0.2182611736303408,1.1300938140494394,1.9161399792643863,-0.7431085399934756,1.4625145649258637,1.0232683559643352,-0.015848876897928132,1.3554238853092206,0.0,0.0,0.0
5,60,100,0.4436019001440801,0.0,0.0,0.0,1.0003838976156532,-0.12356713046450807,1.1001235790460098,1.6820989371376216,-0.7431085399934756,1.478964958540654,2.2501621008649497,-0.6568846463649303,1.2197177501331375,0.0,0.0,0.0
5,80,200,0.38766532785407865,0.0,0.0,0.0,1.7114065452339178,-2.6594646649163,0.550590136236805,3.127504875371323,-1.421178262762135,1.5077958961269176,2.3793340349603787,-0.3662259388777733,1.6915425561230433,0.0,0.0,0.0
5,50,100,0.3624881122086684,0.0,0.0,0.0,0.9365834184732913,-0.12356713046450807,1.0504016922030002,1.243128015706274,-0.7431085399934756,1.1771763275595273,1.5530823601223487,-0.8636172784316387,0.8736825391408329,0.0,0.0,0.0
10,60,100,0.36150078508243555,0.0,0.0,0.0,-1.0071382658657813,-2.567747829144984,-0.24938188455418028,9.063796074442232,-2.397021921503395,1.6942656256383781,5.936375545074779,-2.0589619553163963,1.2465792149860349,0.15535049171835347,-0.02860830764642719,1.3017687385196182
10,60,200,0.2654195694222792,0.0,0.0,0.0,1.0919227116500396,-1.7001203056798864,0.39424422017495714,8.185125826051397,-2.5640538022991266,1.3171213913599271,3.812081242630705,-3.234995275013486,0.9130187551971352,0.0,0.0,0.0
5,70,200,0.23773792313622766,0.0,0.0,0.0,0.07946348074265863,-2.6594646649163334,0.042751845049109956,2.1162323293189678,-0.7431085399934978,1.4064819823592078,2.0736896033442864,-0.3662259388777622,1.5108477861205976,0.0,0.0,0.0
10,50,100,0.21863746730059458,0.0,0.0,0.0,-1.1706790900946284,-2.567747829144984,-0.29392590145089087,5.464747116559998,-2.397021921503406,1.1994277213469626,4.0739282042241864,-2.07952550833278,0.9039924442640523,0.10548281974147589,-0.009999999999998899,1.1014369933483243
10,60,50,0.18319077429141817,-0.20076058736950841,-1.253439585968008,-0.16795793119059313,0.08078690810946476,-0.10125595721558467,0.4192200035798701,2.9990229259587498,-1.5493047767287549,0.8427400347492602,4.505578866095528,-2.0601330051574163,1.0304372194711693,0.0,0.0,0.0
10,50,200,0.16326857567064754,0.0,0.0,0.0,0.3221773169064024,-1.7001203056798864,0.13401560900793336,5.466711988536654,-3.047487461129872,1.0017755682594978,2.840073501931495,-3.234995275013486,0.7062860408503476,0.0,0.0,0.0
5,80,100,0.15757372657985325,0.0,0.0,0.0,-0.04610668805618001,-2.6594646649163223,-0.006927062929831253,1.8200162426569522,-1.421178262762135,1.0839490924816573,2.3451955062707697,-2.1593093195521607,1.0072290232991001,0.0,0.0,0.0
5,50,50,0.13402047826056895,0.0,0.0,0.0,0.0428961759271651,-0.02388659948177052,0.597961261401285,0.028731737022136272,-0.7143530521742103,0.0402656135091024,1.0232683559643352,-0.015848876897928132,1.3554238853092206,0.0,0.0,0.0
