variant,btc_filter,vol_target,lev,is_total_pct,is_cagr_pct,is_maxdd_pct,is_sharpe,oos_total_pct,oos_cagr_pct,oos_maxdd_pct,oos_sharpe
donchian_20_10,False,,1,86.15238595165388,23.014470712854873,-35.94699049209772,0.7823566190053993,-10.09299145723891,-5.987189761453616,-34.7311537384428,-0.09494910217159164
donchian_20_10,False,,2,144.84323496215396,34.781215805245715,-60.71141215853483,0.7823566190053963,-33.44974232399981,-21.04561754924973,-62.174062528524274,-0.15373046110019978
donchian_20_10,False,,3,91.54000097767808,24.189962258421936,-79.92961288615274,0.737318263432186,-56.6586207181722,-38.43984916677369,-79.76995408730495,-0.16472902272871684
donchian_20_10,False,,5,-96.84298910130819,-68.39478902534549,-99.17125986961265,0.47800615302819544,-84.9569380155402,-66.68655074363099,-95.15043470366862,-0.11979287442265328
donchian_20_10,False,0.5,1,75.86120974218751,20.704469627895694,-24.558465557749955,0.9122842013152319,6.0318161724775,3.4570939635126585,-30.028152657141792,0.26179877454397715
donchian_20_10,False,0.5,2,161.02708100119528,37.68771382214842,-44.300403602862104,0.9122842013152332,2.758658005652914,1.591662618735179,-52.71579908552857,0.26179877454397965
donchian_20_10,False,0.5,3,201.40189478609352,44.449261574844634,-63.10879470303574,0.8747219478666336,-16.61948852339773,-10.00987543214582,-72.20394361985397,0.19981958709662379
donchian_20_10,False,0.5,5,53.05584209028349,15.24355240890154,-88.84653284559629,0.7684291486301554,-61.410795227425574,-42.45178727101659,-92.37347423065953,0.15199212866595574
donchian_20_10,True,,1,125.93370508218604,31.218078783608938,-31.205715111359744,1.036301055317422,0.9550397141839806,0.5530905981234291,-27.307119512190692,0.14458989366636624
donchian_20_10,True,,2,283.17952339778134,56.48309635130624,-54.57734557106567,1.0363010553174217,-14.27306592427977,-8.548909275205885,-52.31679319260112,0.07471900609919764
donchian_20_10,True,,3,343.16712820143954,64.25648052091739,-71.30083956727444,1.005961882589766,-34.57384387042423,-21.822264019514037,-69.87668661584456,0.06152768982682779
donchian_20_10,True,,5,-67.62938024810606,-31.33791221185276,-94.63072874758171,0.7467683106116845,-66.45609999692982,-46.945758825494764,-86.98244179779589,0.1189650021144622
donchian_20_10,True,0.5,1,92.22584306114545,24.338013566869932,-22.83975487649329,1.1197430838928684,12.221539648639457,6.919898909364686,-22.754502190917236,0.429581314830912
donchian_20_10,True,0.5,2,221.47783633257592,47.58776143994925,-41.673975959284235,1.1197430838928764,17.37205731841678,9.740628495746284,-41.570203476286046,0.42958131483091083
donchian_20_10,True,0.5,3,331.64534353838934,62.82047600907808,-60.14836398050599,1.076866092516718,4.769391828661984,2.740519113172857,-60.83083220248563,0.3554072920390565
donchian_20_10,True,0.5,5,321.9744725631756,61.59530043680126,-79.99238632223411,1.0082821544322016,-37.88404516430778,-24.1424770333043,-85.2491597097625,0.29796841457569906
donchian_20_10_ls,False,,1,48.780287662936026,14.160307878911048,-52.570350490637985,0.5170269552171938,-28.114364439721452,-17.432068787006617,-46.70432488291747,-0.21776824568237993
donchian_20_10_ls,False,,2,10.166209224546918,3.279977646858301,-82.3312323404649,0.5087563076091042,-65.54013804653759,-46.10984372151123,-79.1957977027114,-0.2542902192673073
donchian_20_10_ls,False,,3,-61.22417000256037,-27.07881779054404,-95.33142058347313,0.49651870576567264,-88.44064816401577,-71.40874222865888,-93.73863889305235,-0.26123518182922656
donchian_20_10_ls,False,,5,-99.98403585972098,-94.57522356132009,-99.99739225134577,0.23237497885209552,-99.5638561236725,-95.73116067928241,-99.78250472219385,-0.23584101194864193
donchian_20_10_ls,False,0.5,1,41.36440032686459,12.231134162214307,-36.44600926489859,0.5263703318137519,-3.454640706745349,-2.0194564447247876,-32.938279325600476,0.1065830768647897
donchian_20_10_ls,False,0.5,2,49.475813854370074,14.337925661518259,-63.147377784034234,0.5263703318137538,-23.145175850056333,-14.16655573672745,-60.38889016199535,0.10658307686479268
donchian_20_10_ls,False,0.5,3,10.466069746467666,3.373598404097833,-82.16425996346447,0.5022652386696848,-53.67843130579305,-36.0178768179294,-81.09126234463766,0.06616015971639533
donchian_20_10_ls,False,0.5,5,-86.47162297302548,-48.664803026360225,-98.30939045155142,0.40632810293006866,-91.50339156818816,-76.08579024387426,-97.43903084647691,0.02839072539301885
donchian_20_10_ls,True,,1,77.53954168872124,21.087235702677944,-51.857070180568485,0.6454633963168541,-20.355146136567292,-12.371941017809561,-48.371189037818816,-0.07783322048009106
donchian_20_10_ls,True,,2,61.279112716416684,17.27156165256829,-81.18092362609583,0.6366966245141312,-57.900469330721016,-39.4696357333344,-77.86245978369676,-0.11488728066601316
donchian_20_10_ls,True,,3,-22.63731076737846,-8.199752378029313,-93.3206084667816,0.6373461302941408,-84.49662034039517,-66.09875658330228,-91.64642971908573,-0.12197463143321888
donchian_20_10_ls,True,,5,-99.89252046195836,-89.756651929154,-99.98300808818664,0.38949613374798053,-99.30101194723973,-94.3872511224012,-99.56693781992587,-0.09398118559316151
donchian_20_10_ls,True,0.5,1,53.24193796935231,15.290240519116738,-36.57916143085968,0.6196479778930934,1.5379454369580214,0.8895888717876499,-33.346807302148875,0.19084777833507208
donchian_20_10_ls,True,0.5,2,78.14669278411255,21.225110341507403,-63.25482492925789,0.6196479778930912,-14.391219336494377,-8.622071307772206,-58.05799881956328,0.19084777833507333
donchian_20_10_ls,True,0.5,3,47.0352943829202,13.712235745135937,-81.80254874354947,0.5953460528147805,-44.9736788039745,-29.29394004227347,-77.15619354584884,0.14905419114511118
donchian_20_10_ls,True,0.5,5,-69.50409039310537,-32.689854312314594,-96.92653242459959,0.528946757005763,-88.32932044329138,-71.24927529298617,-95.38927343911664,0.10990061906695663
donchian_20_20,False,,1,90.19556444984597,23.898712911071375,-43.913859038820036,0.7291792583594027,-3.167073962756095,-1.8502105465004415,-40.15720974308156,0.12103342961600017
donchian_20_20,False,,2,117.83426796832916,29.63095888201699,-71.70719991774926,0.7291792583594012,-36.21672262845277,-22.96748536722729,-71.65819902737493,0.014611661463440758
donchian_20_20,False,,3,12.823211291246462,4.1036968949411,-90.73929280122903,0.675188048436714,-67.02963729600424,-47.474056454068716,-88.76128371406881,-0.0372090248729903
donchian_20_20,False,,5,-99.72579234617889,-86.00327195815247,-99.94919966461374,0.449635625330281,-94.01745502102482,-80.4906029569338,-98.82405244198522,-0.0139162512164783
donchian_20_20,False,0.5,1,99.86491388408997,25.963732293768828,-30.81918446986629,0.930008196963545,10.069472754760667,5.725249260691023,-35.4089142035341,0.3358165378683938
donchian_20_20,False,0.5,2,209.07596544897936,45.6649547172836,-53.68511758970125,0.9300081969635499,4.760302546860462,2.735346773623837,-60.59447182866335,0.3358165378683978
